,x,y,s,R
529,53,0,0.1,10000
530,53.1,0,0.1,10000
531,53.2,0,0.1,10000
532,53.3,0,0.1,10000
533,53.4,0,0.1,10000
534,53.5,0,0.1,10000
535,53.6,0,0.1,10000
536,53.7,0,0.1,10000
537,53.8,0,0.1,10000
538,53.9,0,0.1,10000
539,54,0,0.1,10000
540,54.1,0,0.1,10000
541,54.2,0,0.1,10000
542,54.3,0,0.1,10000
543,54.4,0,0.1,10000
544,54.5,0,0.1,10000
545,54.6,0,0.1,10000
546,54.7,0,0.1,10000
547,54.8000000000001,0,0.1,10000
548,54.9,0,0.1,10000
549,55.0000000000001,0,0.1,10000
550,55.1000000000001,0,0.1,10000
551,55.2000000000001,0,0.1,10000
552,55.3000000000001,0,0.1,10000
553,55.4000000000001,0,0.1,10000
554,55.5000000000001,0,0.1,10000
555,55.6000000000001,0,0.1,10000
556,55.7000000000001,0,0.1,10000
557,55.8000000000001,0,0.1,10000
558,55.9000000000001,0,0.1,10000
559,56.0000000000001,0,0.1,10000
560,56.1000000000001,0,0.1,10000
561,56.2000000000001,0,0.1,10000
562,56.3000000000001,0,0.1,10000
563,56.4000000000001,0,0.1,10000
564,56.5000000000001,0,0.1,10000
565,56.6000000000001,0,0.1,10000
566,56.7000000000001,0,0.1,10000
567,56.8000000000001,0,0.1,10000
568,56.9000000000001,0,0.1,10000
569,57.0000000000001,0,0.1,10000
570,57.1000000000001,0,0.1,10000
571,57.2000000000001,0,0.1,10000
572,57.3000000000001,0,0.1,10000
573,57.4000000000001,0,0.1,10000
574,57.5000000000001,0,0.1,10000
575,57.6000000000001,0,0.1,10000
576,57.7000000000001,0,0.1,10000
577,57.8000000000001,0,0.1,10000
578,57.9000000000001,0,0.1,10000
579,58.0000000000001,0,0.1,10000
580,58.1000000000001,0,0.1,10000
581,58.2000000000001,0,0.1,10000
582,58.3000000000001,0,0.1,10000
583,58.4000000000001,0,0.1,10000
584,58.5000000000001,0,0.1,10000
585,58.6000000000001,0,0.1,10000
586,58.7000000000001,0,0.1,10000
587,58.8000000000001,0,0.1,10000
588,58.9000000000001,0,0.1,10000
589,59.0000000000001,0,0.1,10000
590,59.1000000000001,0,0.1,10000
591,59.2000000000001,0,0.1,10000
592,59.3000000000001,0,0.1,10000
593,59.4000000000001,0,0.1,10000
594,59.5000000000001,0,0.1,10000
595,59.6000000000001,0,0.1,10000
596,59.7000000000001,0,0.1,10000
597,59.8000000000001,0,0.1,10000
598,59.9000000000001,0,0.1,10000
599,60.0000000000001,0,0.1,10000
600,60.1000000000001,0,0.1,10000
601,60.2000000000001,0,0.1,10000
602,60.3000000000001,0,0.1,10000
603,60.4000000000001,0,0.1,10000
604,60.5000000000001,0,0.1,10000
605,60.6000000000001,0,0.1,10000
606,60.7000000000001,0,0.1,10000
607,60.8000000000001,0,0.1,10000
608,60.9000000000001,0,0.1,10000
609,61.0000000000001,0,0.1,10000
610,61.1000000000001,0,0.1,10000
611,61.2000000000001,0,0.1,10000
612,61.3000000000001,0,0.1,10000
613,61.4000000000001,0,0.1,10000
614,61.5000000000001,0,0.1,10000
615,61.6000000000001,0,0.1,10000
616,61.7000000000001,0,0.1,10000
617,61.8000000000001,0,0.1,10000
618,61.9000000000001,0,0.1,10000
619,62.0000000000001,0,0.1,10000
620,62.1000000000001,0,0.1,10000
621,62.2000000000001,0,0.1,10000
622,62.3000000000001,0,0.1,10000
623,62.4000000000001,0,0.1,10000
624,62.5000000000001,0,0.1,10000
625,62.6000000000001,0,0.1,10000
626,62.7000000000001,0,0.1,10000
627,62.8000000000001,0,0.1,10000
628,62.9000000000001,0,0.1,10000
629,63.0000000000001,0,0.1,10000
630,63.1000000000001,0,0.1,10000
631,63.2000000000001,0,0.1,10000
632,63.3000000000001,0,0.1,10000
633,63.4000000000001,0,0.1,10000
634,63.5000000000001,0,0.1,10000
635,63.6000000000001,0,0.1,10000
636,63.7000000000001,0,0.1,10000
637,63.8000000000001,0,0.1,10000
638,63.9000000000001,0,0.1,10000
639,64.0000000000001,0,0.1,10000
640,64.1000000000001,0,0.1,10000
641,64.2000000000001,0,0.1,10000
642,64.3000000000001,0,0.1,10000
643,64.4000000000001,0,0.1,10000
644,64.5000000000001,0,0.1,10000
645,64.6000000000002,0,0.1,10000
646,64.7000000000002,0,0.1,10000
647,64.8000000000002,0,0.1,10000
648,64.9000000000001,0,0.1,10000
649,65.0000000000002,0,0.1,10000
650,65.1000000000002,0,0.1,10000
651,65.2000000000002,0,0.1,10000
652,65.3000000000002,0,0.1,10000
653,65.4000000000002,0,0.1,10000
654,65.5000000000002,0,0.1,10000
655,65.6000000000002,0,0.1,10000
656,65.7000000000002,0,0.1,10000
657,65.8000000000002,0,0.1,10000
658,65.9000000000002,0,0.1,10000
659,66.0000000000002,0,0.1,10000
660,66.1000000000002,0,0.1,10000
661,66.2000000000002,0,0.1,10000
662,66.3000000000002,0,0.1,10000
663,66.4000000000002,0,0.1,10000
664,66.5000000000002,0,0.1,10000
665,66.6000000000002,0,0.1,10000
666,66.7000000000002,0,0.1,10000
667,66.8000000000002,0,0.1,10000
668,66.9000000000002,0,0.1,10000
669,67.0000000000002,0,0.1,10000
670,67.1000000000002,0,0.1,10000
671,67.2000000000002,0,0.1,10000
672,67.3000000000002,0,0.1,10000
673,67.4000000000002,0,0.1,10000
674,67.5000000000002,0,0.1,10000
675,67.6000000000002,0,0.1,10000
676,67.7000000000002,0,0.1,10000
677,67.8000000000002,0,0.1,10000
678,67.9000000000002,0,0.1,10000
679,68.0000000000002,0,0.1,10000
680,68.1000000000002,0,0.1,10000
681,68.2000000000002,0,0.1,10000
682,68.3000000000002,0,0.1,10000
683,68.4000000000002,0,0.1,10000
684,68.5000000000002,0,0.1,10000
685,68.6000000000002,0,0.1,10000
686,68.7000000000002,0,0.1,10000
687,68.8000000000002,0,0.1,10000
688,68.9000000000002,0,0.1,10000
689,69.0000000000002,0,0.1,10000
690,69.1000000000002,0,0.1,10000
691,69.2000000000002,0,0.1,10000
692,69.3000000000002,0,0.1,10000
693,69.4000000000002,0,0.1,10000
694,69.5000000000002,0,0.1,10000
695,69.6000000000002,0,0.1,10000
696,69.7000000000002,0,0.1,10000
697,69.8000000000002,0,0.1,10000
698,69.9000000000002,0,0.1,10000
699,70.0000000000002,0,0.1,10000
700,70.1000000000002,0,0.1,10000
701,70.2000000000002,0,0.1,10000
702,70.3000000000002,0,0.1,10000
703,70.4000000000002,0,0.1,10000
